PostalCode,Latitude,Longitude
1171AE,52.338703,4.771879
1098WS,52.343646,4.950876999999998
1098XA,52.357553,4.944911
1098WJ,52.344479,4.949763
1098XB,52.357128,4.944868
1033WG,52.419654,4.8809580000000015
2132ZW,52.301631,4.690674
2132TZ,52.301771,4.695089
2132ZX,52.301665,4.690112999999998
2132ZS,52.300756,4.69001
2132ZT,52.300732,4.692735
2132AZ,52.305364000000004,4.697635
2371HM,52.204612,4.6319300000000005
2371DJ,52.201817,4.633104
2371RO,12.194274,-68.249092
2371XM,52.20309500000001,4.630859
1165GG,52.383378,4.753557
1398CP,52.33184,5.059716000000001
1398DS,12.194274,-68.249092
1398BA,52.331466,5.068271
1398DK,52.333669,5.062379
1132MJ,52.50982,5.073958
1132TL,52.51091,5.068196
2131HB,52.312498,4.6971989999999995
1391MC,52.272753,4.97502
1451MP,52.48098100000001,4.927778
1432NR,52.280691,4.804291
1421LB,52.247085,4.807318
1062AL,52.362522,4.836166
1062HE,52.356885,4.836421
1062CG,52.360503,4.839394
1151AZ,52.435258999999995,4.9976449999999994
1402AR,52.272898,5.166162
1011NA,52.369731,4.906408
3641TX,52.202436,4.857022
1032GG,52.391928,4.913869999999998
1034BM,52.407721,4.917717
1034CR,52.408228,4.915751
1034AB,52.408157,4.913368
2152TV,52.281425,4.62424
2152KH,52.27658,4.633211
1551ED,52.436386,4.779344
1551GN,52.435902,4.7792059999999985
2134LN,52.305723,4.636164
2134ZT,52.321244,4.650432
1443BL,52.50966999999999,4.964549
1443BK,52.509457,4.963847
1443WZ,52.512152,4.972729
1505KB,52.42879,4.835133
1505WG,52.431022,4.8400669999999995
1505VP,52.43036899999999,4.841657
1111HJ,52.338529,4.962148
2025DV,52.416673,4.647026
1064JE,52.377295000000004,4.811647
1064LG,52.374022,4.81216
1433JG,52.232949,4.751022
3648XG,52.197854,4.901389
1911ER,52.518918000000006,4.709219
1431DD,52.270569,4.754421
1431CV,52.267976000000004,4.7469589999999995
2141EB,52.348258,4.673879
1031KG,52.385758,4.901974
1031AM,52.389702,4.911393
1031HZ,52.393771,4.9010110000000005
1031DC,12.194274,-68.249092
1031HK,52.394203999999995,4.8997160000000015
1031GA,52.387525,4.910558
1561AM,52.497749,4.7677190000000005
1442BH,52.512524,4.950437
1021TR,52.387785,4.92248
2011WD,52.38055,4.6295480000000016
2011AW,52.383035,4.644689
2156LG,52.218897,4.637176
1131DA,52.49505500000001,5.070074
1218GZ,52.270572,5.135873
1942AK,52.482088,4.652965
1091TJ,52.351913,4.912855
1053BG,52.366784,4.865481
1043AM,52.394183,4.819392
1043EW,52.385622999999995,4.834443
2461HZ,52.194038,4.713641
2461VR,52.195602,4.7092410000000005
1135CP,52.514762,5.063091
1018KZ,12.194274,-68.249092
2013CH,52.385326,4.625753
1183VB,52.304567,4.882324
1183WX,52.305953,4.882468
1017PZ,52.3631,4.8851010000000015
1013LM,52.385947,4.886743
1060TN,52.34623300000001,4.794803
1086ZJ,52.362741,4.982226
1014BL,52.385595,4.8546830000000005
2451BC,52.224621,4.673933
1097AE,52.353152,4.9244900000000005
2035EW,52.360919,4.656541000000002
1019VR,52.368184,4.954946
1422UI,12.194274,-68.249092
1461DL,52.518401000000004,4.945467
1064EB,52.3725,4.83004
1092GX,52.355059999999995,4.9238599999999995
1082GP,52.32638,4.87948
1073LA,52.34953,4.9021300000000005
1055AX,52.37673,4.84893
1064PG,52.37806,4.81016
1024AL,52.39866,4.95118
1066RA,52.3457,4.80841
1069BX,52.35484,4.791919999999998
1025WV,52.39709000000001,4.94165
1057SX,52.369,4.85398
1068ZH,52.3651,4.80165
1055DE,52.37915,4.85431
1069TS,52.35674,4.78926
1025AM,52.40187,4.94735
1097BN,52.34754,4.94066
1069EE,52.35674,4.78926
1035BB,52.41901,4.886019999999999
1103GZ,52.32257,4.97685
1068HZ,52.35684000000001,4.81441
1058NJ,52.35299000000001,4.85177
1056KL,52.37336,4.86471
1068LX,52.36047,4.7918699999999985
1056CD,52.37339,4.85241
1034TS,52.41373,4.91971
1102EG,52.311840000000004,4.95571
1055HM,52.37987,4.84836
1063KS,52.38028,4.82029
1060RG,52.35048,4.78252
1069PV,52.35212,4.78399
1024MG,52.3878,4.95691
1024AJ,52.39866,4.95118
1069DW,52.35692,4.7941400000000005
1107HS,52.293820000000004,4.9786800000000015
1061DK,52.37881,4.84256
1067DB,52.38368,4.80957
1034LX,52.40922,4.92271
1063MC,52.378679999999996,4.82506
1024EV,52.39375,4.96167
1098TK,52.35239,4.94375
1066GJ,52.34451,4.82639
1066PX,52.3457,4.80841
1097ZE,52.34025,4.9489800000000015
1025ZT,52.403240000000004,4.94297
1082RA,52.33486,4.87363
1024SG,52.394420000000004,4.94832
1108EP,52.31046,4.98182
1106AE,52.29781,4.97419
1060NK,52.35281,4.7767300000000015
1073RA,52.34849000000001,4.89844
1068CS,52.36202,4.80846
1056DR,52.37097,4.85534
1091BP,52.35758,4.9104199999999985
