Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Catharina Boudewijnshof 79,https://www.funda.nl/koop/amsterdam/appartement-41490906-catharina-boudewijnshof-79/?navigateSource=resultlist,€ 265.000 k.k.,€ 3.354,2 weken,Beschikbaar,In overleg,€ 94 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,79 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,4e woonlaag,Mechanische ventilatie en TV kabel,C Wat betekent dit?,Dubbel glas,Cv-ketel,1064PG,-,-,-,1064,1064PG,52.37806,4.81016,265000,K.K.,3354,79
Jisperveldstraat 237,https://www.funda.nl/koop/amsterdam/appartement-87827597-jisperveldstraat-237/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.274,3 weken,Beschikbaar,In overleg,€ 225 per maand,Galerijflat (appartement),Bestaande bouw,1967,Plat dak bedekt met bitumineuze dakbedekking,84 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,11 woonlagen,5e woonlaag,Elektra,D Wat betekent dit?,Volledig geïsoleerd en dubbel glas,Blokverwarming,1024AL,-,-,-,1024,1024AL,52.39866,4.95118,275000,K.K.,3274,84
Kempenlaan 88,https://www.funda.nl/koop/amsterdam/appartement-41469586-kempenlaan-88/?navigateSource=resultlist,€ 350.000 k.k.,€ 4.070,4 weken,Beschikbaar,In overleg,€ 183 per maand,Bovenwoning (appartement),Bestaande bouw,1994,Plat dak bedekt met bitumineuze dakbedekking,86 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,"Mechanische ventilatie, TV kabel, lift, schuifpui en glasvezelkabel",C Wat betekent dit?,Dubbel glas en volledig geïsoleerd,Cv-ketel,1066RA,-,-,-,1066,1066RA,52.3457,4.80841,350000,K.K.,4070,86
Valkenisseweg 113,https://www.funda.nl/koop/amsterdam/appartement-40345611-valkenisseweg-113/?navigateSource=resultlist,€ 285.000 k.k.,€ 3.314,6 weken,Beschikbaar,In overleg,€ 113 per maand,Portiekwoning (appartement),Bestaande bouw,1996,Plat dak bedekt met bitumineuze dakbedekking,86 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,8e woonlaag,"Mechanische ventilatie, TV kabel en lift",B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1069BX,-,Toegankelijk voor ouderen,-,1069,1069BX,52.35484,4.791919999999998,285000,K.K.,3314,86
Osdorper Ban 736,https://www.funda.nl/koop/amsterdam/appartement-40326777-osdorper-ban-736/?navigateSource=resultlist,€ 300.000 k.k.,€ 3.896,2 maanden,Beschikbaar,In overleg,€ 107 per maand,Bovenwoning (appartement),Bestaande bouw,2006,-,77 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,16 woonlagen,11e woonlaag,Elektra,A Wat betekent dit?,Geen isolatie,Cv-ketel,1069ZR,-,-,-,1069,1069ZR,52.36047,4.791869999999999,300000,K.K.,3896,77
Olof Palmeplein 118,https://www.funda.nl/koop/amsterdam/appartement-86676201-olof-palmeplein-118/?navigateSource=resultlist,€ 335.000 k.k.,€ 4.653,3 maanden,Beschikbaar,In overleg,€ 78 per maand,Benedenwoning (appartement),Bestaande bouw,1987,Plat dak bedekt met bitumineuze dakbedekking,72 m²,72 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,-,C Wat betekent dit?,Volledig geïsoleerd en vloerisolatie,Cv-ketel,1025WV,-,-,-,1025,1025WV,52.39709000000001,4.94165,335000,K.K.,4653,72
Derkinderenstraat 204,https://www.funda.nl/koop/amsterdam/appartement-87885475-derkinderenstraat-204/?navigateSource=resultlist,€ 375.000 k.k.,€ 4.310,12 oktober 2019,Beschikbaar,In overleg,€ 159 per maand,Bovenwoning (appartement met open portiek),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,87 m²,87 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,6e woonlaag,Mechanische ventilatie en TV kabel,A Wat betekent dit?,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",Stadsverwarming,1061VX,Woningborg garantiecertificaat,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,"Inpandig, parkeerkelder en parkeerplaats",1061,1061VX,52.363209999999995,4.84049,375000,K.K.,4310,87
Baffinstraat 12 hs,https://www.funda.nl/koop/amsterdam/appartement-41429762-baffinstraat-12-hs/?navigateSource=resultlist,€ 389.000 k.k.,€ 6.175,12 oktober 2019,Beschikbaar,In overleg,€ 98 per maand,Benedenwoning (appartement),Bestaande bouw,1927,Plat dak,63 m²,63 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,Begane grond,TV kabel,F Wat betekent dit?,-,Cv-ketel,1057SX,-,-,-,1057,1057SX,52.369,4.85398,389000,K.K.,6175,63
Boutenburg 321,https://www.funda.nl/koop/amsterdam/appartement-41428994-boutenburg-321/?navigateSource=resultlist,€ 250.000 k.k.,€ 3.731,10 oktober 2019,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,67 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,8e woonlaag,TV kabel en lift,D Wat betekent dit?,Dubbel glas,Blokverwarming,1068ZH,-,-,-,1068,1068ZH,52.3651,4.80165,250000,K.K.,3731,67
Willem Baerdesenstraat 64,https://www.funda.nl/koop/amsterdam/appartement-41428822-willem-baerdesenstraat-64/?navigateSource=resultlist,€ 350.000 k.k.,€ 3.333,10 oktober 2019,Beschikbaar,In overleg,-,Portiekwoning (appartement),Bestaande bouw,2004,Plat dak bedekt met bitumineuze dakbedekking,105 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,5e woonlaag,"Mechanische ventilatie, TV kabel en lift",B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1067XX,GIW Waarborgcertificaat,Toegankelijk voor ouderen,-,1067,1067XX,52.37749,4.80318,350000,K.K.,3333,105
