Name,Link,Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Keurmerken,Toegankelijkheid,Soort garage,Postal Code Generic,PostalCode,Latitude,Longitude,Price,Sale type,Price per m2,Surface
Praterlaan 102,https://www.funda.nl/koop/amsterdam/appartement-41477544-praterlaan-102/?navigateSource=resultlist,€ 399.000 k.k.,€ 4.200,2 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2003,Plat dak bedekt met bitumineuze dakbedekking,95 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,1e woonlaag,"Mechanische ventilatie, TV kabel, lift en schuifpui","B 1,08 Wat betekent dit?",Volledig geïsoleerd,Stadsverwarming,1098WS,-,-,Parkeerkelder,1098,1098WS,52.343646,4.950876999999998,399000,K.K.,4200,95
Marskramerstraat 142,https://www.funda.nl/koop/amsterdam/appartement-41475145-marskramerstraat-142/?navigateSource=resultlist,€ 350.000 k.k.,€ 3.125,3 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,2007,Plat dak bedekt met bitumineuze dakbedekking,112 m²,6 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,1e woonlaag,Elektra,Niet beschikbaar,Volledig geïsoleerd,Cv-ketel,1033WG,-,-,-,1033,1033WG,52.419654,4.8809580000000015,350000,K.K.,3125,112
Marskramerstraat 138,https://www.funda.nl/koop/amsterdam/appartement-86649481-marskramerstraat-138/?navigateSource=resultlist,€ 325.000 k.k.,€ 3.693,4 maanden,Verkocht onder voorbehoud,In overleg,-,Benedenwoning,Bestaande bouw,2007,Plat dak,88 m²,88 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,Begane grond,Mechanische ventilatie,Niet beschikbaar,Dubbel glas,Cv-ketel en gehele vloerverwarming,1033WG,-,-,-,1033,1033WG,52.419654,4.8809580000000015,325000,K.K.,3693,88
Belgiëplein 67,https://www.funda.nl/koop/amsterdam/appartement-41466637-belgieplein-67/?navigateSource=resultlist,€ 350.000 k.k.,€ 4.070,4 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1994,Plat dak,86 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,-,-,-,Volledig geïsoleerd,Cv-ketel,1066RC,-,-,-,1066,1066RC,52.34576,4.8110300000000015,350000,K.K.,4070,86
Anna Blamansingel 113,https://www.funda.nl/koop/amsterdam/appartement-41465245-anna-blamansingel-113/?navigateSource=resultlist,€ 364.000 k.k.,€ 3.640,4 weken,Beschikbaar,In overleg,€ 125 per maand,Bovenwoning (appartement),Bestaande bouw,2006,Plat dak bedekt met bitumineuze dakbedekking,100 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,8e woonlaag,Elektra,-,-,Stadsverwarming,1102ST,-,-,Parkeerkelder,1102,1102ST,52.31628,4.946609,364000,K.K.,3640,100
Catharina Boudewijnshof 21,https://www.funda.nl/koop/amsterdam/appartement-40927939-catharina-boudewijnshof-21/?navigateSource=resultlist,€ 285.000 k.k.,€ 3.476,6+ maanden,Beschikbaar,In overleg,€ 97 per maand,Portiekflat (appartement),Bestaande bouw,1990,Zadeldak,82 m²,3 m²,4 kamers (3 slaapkamers),1 apart toilet,-,1 woonlaag,3e woonlaag,-,-,Dubbel glas,Cv-ketel,1064PE,-,-,-,1064,1064PE,52.37806,4.81016,285000,K.K.,3476,82
Elpermeer 86,https://www.funda.nl/koop/amsterdam/appartement-41423052-elpermeer-86/?navigateSource=resultlist,€ 225.000 k.k.,€ 2.679,Vandaag,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1966,Plat dak bedekt met bitumineuze dakbedekking,84 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,TV kabel,-,-,Blokverwarming,1025AK,-,-,-,1025,1025AK,52.40187,4.94735,225000,K.K.,2679,84
Jisperveldstraat 437,https://www.funda.nl/koop/amsterdam/appartement-41403566-jisperveldstraat-437/?navigateSource=resultlist,€ 239.000 k.k.,€ 2.812,2 weken,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1968,Plat dak,85 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,TV kabel en lift,-,-,Blokverwarming,1024AW,-,-,-,1024,1024AW,52.39866,4.95118,239000,K.K.,2812,85
Hendrik de Bruynstraat 7 3,https://www.funda.nl/koop/amsterdam/appartement-41463906-hendrik-de-bruynstraat-7-3/?navigateSource=resultlist,€ 250.000 k.k.,€ 4.032,3 weken,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,1958,-,62 m²,11 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,-,-,Dubbel glas,Cv-ketel,1065EB,-,-,-,1065,1065EB,52.35647,4.82808,250000,K.K.,4032,62
Eerste Atjehstraat 113 H,https://www.funda.nl/koop/amsterdam/appartement-40221790-eerste-atjehstraat-113-h/?navigateSource=resultlist,€ 400.000 k.k.,€ 7.273,3 maanden,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1910,Plat dak bedekt met bitumineuze dakbedekking,55 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,4 woonlagen,Begane grond,-,-,-,Cv-ketel,1094KG,-,-,-,1094,1094KG,52.36254,4.93567,400000,K.K.,7273,55
Litasweg 37,https://www.funda.nl/koop/amsterdam/appartement-87866150-litasweg-37/?navigateSource=resultlist,€ 298.500 k.k.,€ 3.928,2 weken,Beschikbaar,In overleg,€ 166 per maand,Portiekflat (appartement),Bestaande bouw,1998,Plat dak bedekt met bitumineuze dakbedekking,76 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,6e woonlaag,Elektra,-,-,Cv-ketel,1060RV,-,-,-,1060,1060RV,52.34956,4.7908,298500,K.K.,3928,76
Theophilusstraat 14 I,https://www.funda.nl/koop/amsterdam/appartement-41428005-theophilusstraat-14-i/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.603,11 oktober 2019,Beschikbaar,In overleg,€ 148 per maand,Tussenverdieping,Bestaande bouw,1940,-,58 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055CR,-,-,-,1055,1055CR,52.37879,4.85297,325000,K.K.,5603,58
Orteliusstraat 156 2,https://www.funda.nl/koop/amsterdam/appartement-41411999-orteliusstraat-156-2/?navigateSource=resultlist,€ 319.000 k.k.,€ 6.255,5 oktober 2019,Beschikbaar,In overleg,€ 60 per maand,Bovenwoning (appartement),Bestaande bouw,1926,-,51 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,TV kabel,D Wat betekent dit?,Dubbel glas,Cv-ketel,1057BJ,-,-,-,1057,1057BJ,52.36988,4.84932,319000,K.K.,6255,51
Leksmondhof 8,https://www.funda.nl/koop/amsterdam/appartement-41419399-leksmondhof-8/?navigateSource=resultlist,€ 260.000 k.k.,€ 2.989,4 oktober 2019,Beschikbaar,Per direct beschikbaar,€ 185 per maand,Galerijflat (appartement),Bestaande bouw,1979,Plat dak,87 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,2e woonlaag,Elektra,"C 1,71 Wat betekent dit?",Gedeeltelijk dubbel glas,Cv-ketel,1108EM,Energie Prestatie Advies,-,-,1108,1108EM,52.31046,4.98182,260000,K.K.,2989,87
Hogevecht 217,https://www.funda.nl/koop/amsterdam/appartement-40343800-hogevecht-217/?navigateSource=resultlist,€ 265.000 k.k.,€ 2.849,5 weken,Beschikbaar,In overleg,€ 250 per maand,Galerijflat (appartement),Bestaande bouw,1970,Plat dak,93 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,8e woonlaag,Elektra,"C 1,56 Wat betekent dit?",Gedeeltelijk dubbel glas,Blokverwarming,1102HL,Energie Prestatie Advies,-,Parkeerplaats,1102,1102HL,52.30981,4.95795,265000,K.K.,2849,93
Beemsterstraat 478,https://www.funda.nl/koop/amsterdam/appartement-40333364-beemsterstraat-478/?navigateSource=resultlist,€ 295.000 k.k.,€ 3.782,7 weken,Beschikbaar,Per direct beschikbaar,€ 132 per maand,Portiekwoning (appartement),Bestaande bouw,1966,Zadeldak bedekt met pannen,78 m²,16 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,Elektra,"B 1,26 Wat betekent dit?",Dubbel glas,Cv-ketel,1024BS,Energie Prestatie Advies,-,-,1024,1024BS,52.39419,4.95102,295000,K.K.,3782,78
Bruins Slotstraat 24,https://www.funda.nl/koop/amsterdam/appartement-40324866-bruins-slotstraat-24/?navigateSource=resultlist,€ 272.500 k.k.,€ 3.785,8 weken,Beschikbaar,Per direct beschikbaar,€ 92 per maand,Portiekwoning (appartement),Bestaande bouw,1991,-,72 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,"B 1,25 Wat betekent dit?",Dubbel glas,Cv-ketel,1067VC,Energie Prestatie Advies,-,-,1067,1067VC,52.37849,4.79041,272500,K.K.,3785,72
Rietwijkerstraat 43 -3,https://www.funda.nl/koop/amsterdam/appartement-40393220-rietwijkerstraat-43-3/?navigateSource=resultlist,€ 390.000 k.k.,€ 5.493,2 maanden,Beschikbaar,Per direct beschikbaar,€ 143 per maand,Portiekflat (appartement),Bestaande bouw,1930,Plat dak,71 m²,12 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,3e woonlaag,Mechanische ventilatie,E Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1059VW,-,-,-,1059,1059VW,52.3495,4.84865,390000,K.K.,5493,71
Leksmondhof 356,https://www.funda.nl/koop/amsterdam/appartement-40211946-leksmondhof-356/?navigateSource=resultlist,€ 265.000 k.k.,€ 2.978,3 maanden,Beschikbaar,Per direct beschikbaar,€ 215 per maand,Galerijflat (appartement),Bestaande bouw,1979,Plat dak,89 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,7e woonlaag,TV kabel en lift,"D 1,63 Wat betekent dit?",Gedeeltelijk dubbel glas,Cv-ketel,1108GD,Energie Prestatie Advies,-,-,1108,1108GD,52.31046,4.98182,265000,K.K.,2978,89
J.M. den Uylstraat 86,https://www.funda.nl/koop/amsterdam/appartement-40210098-jm-den-uylstraat-86/?navigateSource=resultlist,€ 260.000 k.k.,€ 3.662,3 maanden,Beschikbaar,In overleg,€ 93 per maand,Portiekwoning (appartement),Bestaande bouw,1991,Plat dak bedekt met bitumineuze dakbedekking,71 m²,2 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,Elektra,"A 1,16 Wat betekent dit?",Dubbel glas,Cv-ketel,1067WD,Energie Prestatie Advies,-,-,1067,1067WD,52.38135,4.7906900000000014,260000,K.K.,3662,71
Haarlemmerweg 561 -III,https://www.funda.nl/koop/amsterdam/appartement-41428194-haarlemmerweg-561-iii/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.078,11 oktober 2019,Beschikbaar,Per direct beschikbaar,€ 162 per maand,Bovenwoning (appartement),Bestaande bouw,1936,Plat dak bedekt met bitumineuze dakbedekking,64 m²,10 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,Mechanische ventilatie en TV kabel,"F 2,61 Wat betekent dit?",Dubbel glas,Cv-ketel,1055PN,-,-,-,1055,1055PN,52.38458,4.81976,325000,K.K.,5078,64
Haarlemmerweg 557 -2,https://www.funda.nl/koop/amsterdam/appartement-41412176-haarlemmerweg-557-2/?navigateSource=resultlist,€ 300.000 k.k.,€ 5.263,8 oktober 2019,Beschikbaar,In overleg,€ 143 per maand,Tussenverdieping (appartement),Bestaande bouw,-,-,57 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,-,-,-,-,Cv-ketel,1055PN,-,-,-,1055,1055PN,52.38458,4.81976,300000,K.K.,5263,57
Boterdiepstraat 57 -I,https://www.funda.nl/koop/amsterdam/appartement-41427712-boterdiepstraat-57-i/?navigateSource=resultlist,€ 385.000 k.k.,€ 6.875,10 oktober 2019,Beschikbaar,In overleg,€ 136 per maand,Bovenwoning (appartement),Bestaande bouw,1934,-,56 m²,13 m²,5 kamers (2 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,-,Elektra,E Wat betekent dit?,-,Cv-ketel,1079SV,-,-,-,1079,1079SV,52.34317,4.90934,385000,K.K.,6875,56
Postjesweg 371,https://www.funda.nl/koop/amsterdam/appartement-87878997-postjesweg-371/?navigateSource=resultlist,€ 275.000 k.k.,€ 3.929,10 oktober 2019,Beschikbaar,In overleg,€ 205 per maand,Galerijflat (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,70 m²,5 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,5e woonlaag,Lift,D Wat betekent dit?,Dubbel glas,Blokverwarming,1062JS,-,-,-,1062,1062JS,52.36423,4.84742,275000,K.K.,3929,70
Madurastraat 115,https://www.funda.nl/koop/amsterdam/appartement-41411618-madurastraat-115/?navigateSource=resultlist,€ 400.000 k.k.,€ 5.634,4 oktober 2019,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,1914,Samengesteld dak bedekt met pannen en bitumineuze dakbedekking,71 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,Mechanische ventilatie,C Wat betekent dit?,"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",Cv-ketel,1094GK,-,Toegankelijk voor ouderen,-,1094,1094GK,52.36433,4.9355,400000,K.K.,5634,71
Haarlemmerstraat 79 B,https://www.funda.nl/koop/amsterdam/appartement-87872915-haarlemmerstraat-79-b/?navigateSource=resultlist,€ 374.000 k.k.,€ 6.800,3 oktober 2019,Beschikbaar,In overleg,€ 75 per maand,Tussenverdieping (appartement),Bestaande bouw,1900,Samengesteld dak bedekt met pannen,55 m²,55 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,-,Niet verplicht,Voorzetramen,Cv-ketel,1013EL,-,-,-,1013,1013EL,52.38027,4.89198,374000,K.K.,6800,55
Wittgensteinlaan 204,https://www.funda.nl/koop/amsterdam/appartement-41414153-wittgensteinlaan-204/?navigateSource=resultlist,€ 375.000 k.k.,€ 3.989,9 oktober 2019,Beschikbaar,In overleg,€ 152 per maand,Portiekflat (appartement),Bestaande bouw,1992,-,94 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,TV kabel en lift,-,Volledig geïsoleerd,Cv-ketel,1062KE,-,-,Parkeerplaats,1062,1062KE,52.35366,4.8359,375000,K.K.,3989,94
Wittgensteinlaan 229,https://www.funda.nl/koop/amsterdam/appartement-40203241-wittgensteinlaan-229/?navigateSource=resultlist,€ 400.000 k.k.,€ 4.396,3 maanden,Verkocht onder voorbehoud,In overleg,-,Portiekwoning (appartement),Bestaande bouw,1992,Plat dak bedekt met bitumineuze dakbedekking,91 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,10e woonlaag,Elektra,-,Dubbel glas,Cv-ketel,1062KE,-,-,Parkeerplaats,1062,1062KE,52.35366,4.8359,400000,K.K.,4396,91
Toutenburgstraat 10,https://www.funda.nl/koop/amsterdam/appartement-41417746-toutenburgstraat-10/?navigateSource=resultlist,€ 274.500 k.k.,€ 2.518,4 oktober 2019,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1985,Plat dak bedekt met bitumineuze dakbedekking,109 m²,4 m²,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,Douche,3 woonlagen,1e woonlaag,Elektra,"C 1,55 Wat betekent dit?",Dubbel glas,Cv-ketel,1107PT,-,-,-,1107,1107PT,52.29242,4.96891,274500,K.K.,2518,109
Mr. P.N. Arntzeniusweg 13 3,https://www.funda.nl/koop/amsterdam/appartement-41475548-mr-pn-arntzeniusweg-13-3/?navigateSource=resultlist,€ 270.000 k.k.,€ 3.375,3 weken,Beschikbaar,In overleg,€ 75 per maand,Bovenwoning (appartement),Bestaande bouw,1910,-,80 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,-,Gedeeltelijk dubbel glas,Cv-ketel,1098GK,-,-,-,1098,1098GK,52.35443,4.93652,270000,K.K.,3375,80
Valkenburgerstraat 138 D.,https://www.funda.nl/koop/amsterdam/appartement-40314099-valkenburgerstraat-138-d/?navigateSource=resultlist,€ 399.000 k.k.,€ 4.156,2 maanden,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,2014,Plat dak bedekt met bitumineuze dakbedekking,96 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,Begane grond,"Mechanische ventilatie, TV kabel, lift en schuifpui",Niet beschikbaar,Volledig geïsoleerd,Cv-ketel,1011NA,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,-,1011,1011NA,52.369731,4.906408,399000,K.K.,4156,96
Bestevâerstraat 166 2,https://www.funda.nl/koop/amsterdam/appartement-40192897-bestevaerstraat-166-2/?navigateSource=resultlist,€ 295.000 k.k.,€ 5.900,6+ maanden,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1924,Plat dak bedekt met bitumineuze dakbedekking,50 m²,13 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,Elektra,-,Dubbel glas,Cv-ketel,1055TS,Energie Prestatie Advies,-,-,1055,1055TS,52.37725,4.85882,295000,K.K.,5900,50
Uithoornstraat 25 III,https://www.funda.nl/koop/amsterdam/appartement-41423008-uithoornstraat-25-iii/?navigateSource=resultlist,€ 400.000 k.k.,€ 7.143,15 oktober 2019,Beschikbaar,In overleg,€ 50 per maand,Bovenwoning (appartement),Bestaande bouw,1922,-,56 m²,10 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,1e woonlaag,Mechanische ventilatie en TV kabel,Niet beschikbaar,Dubbel glas,Cv-ketel,1078ST,-,-,-,1078,1078ST,52.34745,4.90825,400000,K.K.,7143,56
De Boelelaan 307,https://www.funda.nl/koop/amsterdam/appartement-41412785-de-boelelaan-307/?navigateSource=resultlist,€ 349.000 k.k.,€ 4.106,7 oktober 2019,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,85 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,2e woonlaag,Elektra,-,Dubbel glas,Blokverwarming,1082RD,-,-,Parkeerplaats,1082,1082RD,52.33486,4.87363,349000,K.K.,4106,85
Boeninlaan 83,https://www.funda.nl/koop/amsterdam/appartement-87875854-boeninlaan-83/?navigateSource=resultlist,€ 259.000 k.k.,€ 3.120,5 oktober 2019,Beschikbaar,In overleg,€ 119 per maand,Portiekflat (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,83 m²,7 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,1e woonlaag,-,C Wat betekent dit?,-,-,1102TH,-,-,-,1102,1102TH,52.31958,4.94351,259000,K.K.,3120,83
Gerard Schaepstraat 1 hs,https://www.funda.nl/koop/amsterdam/appartement-87875817-gerard-schaepstraat-1-hs/?navigateSource=resultlist,€ 375.000 k.k.,€ 5.515,5 oktober 2019,Beschikbaar,In overleg,€ 77 per maand,Benedenwoning (appartement),Bestaande bouw,1905,-,68 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,Begane grond,-,Niet beschikbaar,Vloerisolatie,-,1052GK,-,-,-,1052,1052GK,52.379529999999995,4.87553,375000,K.K.,5515,68
Westerlengte 29,https://www.funda.nl/koop/amsterdam/appartement-87866038-westerlengte-29/?navigateSource=resultlist,€ 315.000 k.k.,€ 3.316,2 weken,Beschikbaar,Per direct beschikbaar,€ 150 per maand,Portiekwoning (appartement),Bestaande bouw,1977,Plat dak,95 m²,7 m²,5 kamers (4 slaapkamers),1 apart toilet,-,1 woonlaag,1e woonlaag,-,-,-,Cv-ketel,1034SW,-,-,-,1034,1034SW,52.41153,4.91854,315000,K.K.,3316,95
Julius Pergerstraat 146,https://www.funda.nl/koop/amsterdam/appartement-87853316-julius-pergerstraat-146/?navigateSource=resultlist,€ 350.000 k.k.,€ 4.375,3 weken,Beschikbaar,In overleg,€ 103 per maand,Portiekflat (appartement),Bestaande bouw,2007,Plat dak bedekt met bitumineuze dakbedekking,80 m²,3 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,2e woonlaag,Elektra,Niet beschikbaar,Dubbel glas en volledig geïsoleerd,Stadsverwarming,1087KP,-,-,-,1087,1087KP,52.35217,5.0025699999999995,350000,K.K.,4375,80
Julius Pergerstraat 154,https://www.funda.nl/koop/amsterdam/appartement-41458541-julius-pergerstraat-154/?navigateSource=resultlist,€ 349.154 k.k.,€ 4.108,5 weken,Verkocht onder voorbehoud,In overleg,-,Galerijflat (appartement),Bestaande bouw,2007,Plat dak bedekt met bitumineuze dakbedekking,85 m²,4 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,2e woonlaag,Elektra,Niet beschikbaar,Volledig geïsoleerd,Stadsverwarming,1087KP,-,-,-,1087,1087KP,52.35217,5.0025699999999995,349154,K.K.,4108,85
Duke Ellingtonstraat 28,https://www.funda.nl/koop/amsterdam/appartement-40288795-duke-ellingtonstraat-28/?navigateSource=resultlist,€ 400.000 k.k.,€ 4.348,4 maanden,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1992,-,92 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,1e woonlaag,Elektra,-,-,Cv-ketel,1066GE,-,-,Parkeerkelder,1066,1066GE,52.34407,4.82671,400000,K.K.,4348,92
Amerbos 78,https://www.funda.nl/koop/amsterdam/appartement-86447320-amerbos-78/?navigateSource=resultlist,€ 267.500 k.k.,€ 3.147,6+ maanden,Beschikbaar,Per direct beschikbaar,€ 210 per maand,Galerijflat (appartement),Bestaande bouw,-,-,85 m²,6 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,6e woonlaag,-,-,Dubbel glas,Stadsverwarming,1025ZN,-,-,-,1025,1025ZN,52.40324,4.94297,267500,K.K.,3147,85
De la Reijstraat 3 -B,https://www.funda.nl/koop/amsterdam/appartement-41412613-de-la-reijstraat-3-b/?navigateSource=resultlist,€ 320.000 k.k.,€ 4.706,7 oktober 2019,Beschikbaar,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,1930,-,68 m²,68 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,-,-,-,-,Cv-ketel,1091NX,-,-,-,1091,1091NX,52.3521,4.91908,320000,K.K.,4706,68
Dijkgraafplein 401,https://www.funda.nl/koop/amsterdam/appartement-41419066-dijkgraafplein-401/?navigateSource=resultlist,€ 275.000 k.k.,€ 2.750,5 oktober 2019,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1972,-,100 m²,5 m²,5 kamers (3 slaapkamers),1 badkamer,Ligbad en toilet,6 woonlagen,4e woonlaag,Lift,C Wat betekent dit?,-,-,1069EV,-,-,-,1069,1069EV,52.35557,4.78665,275000,K.K.,2750,100
Pieter Calandlaan 516,https://www.funda.nl/koop/amsterdam/appartement-86707156-pieter-calandlaan-516/?navigateSource=resultlist,€ 335.000 k.k.,€ 3.418,6 weken,Beschikbaar,In overleg,€ 139 per maand,Galerijflat (appartement),Bestaande bouw,1998,-,98 m²,6 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,1e woonlaag,-,-,Volledig geïsoleerd,Stadsverwarming,1060TV,-,-,-,1060,1060TV,0.0,0.0,335000,K.K.,3418,98
Leusdenhof 81,https://www.funda.nl/koop/amsterdam/appartement-87815840-leusdenhof-81/?navigateSource=resultlist,€ 249.500 k.k.,€ 3.158,4 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1976,-,79 m²,3 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,-,-,-,-,-,1108CX,-,-,Parkeerkelder en parkeerplaats,1108,1108CX,0.0,0.0,249500,K.K.,3158,79
Djambistraat 42 -1,https://www.funda.nl/koop/amsterdam/appartement-87899112-djambistraat-42-1/?navigateSource=resultlist,€ 335.000 k.k.,€ 6.569,Vandaag,Beschikbaar,In overleg,€ 105 per maand,Bovenwoning (appartement),Bestaande bouw,1914,Plat dak bedekt met bitumineuze dakbedekking,51 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1094BB,-,-,-,1094,1094BB,52.36548,4.938,335000,K.K.,6569,51
Zaanstraat 352,https://www.funda.nl/koop/amsterdam/appartement-41420172-zaanstraat-352/?navigateSource=resultlist,€ 400.000 k.k.,€ 6.061,11 oktober 2019,Beschikbaar,In overleg,€ 82 per maand,Benedenwoning (appartement),Bestaande bouw,1919,Samengesteld dak,66 m²,2 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,-,B Wat betekent dit?,Geen isolatie,Cv-ketel,1013SG,-,-,-,1013,1013SG,52.38934,4.87507,400000,K.K.,6061,66
Willem de Zwijgerlaan 92 -1,https://www.funda.nl/koop/amsterdam/appartement-87878662-willem-de-zwijgerlaan-92-1/?navigateSource=resultlist,€ 325.000 k.k.,€ 5.804,10 oktober 2019,Beschikbaar,In overleg,€ 104 per maand,Bovenwoning (appartement),Bestaande bouw,1930,Plat dak bedekt met bitumineuze dakbedekking,56 m²,56 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1056JT,-,-,-,1056,1056JT,52.375820000000004,4.8625300000000005,325000,K.K.,5804,56
Willem de Zwijgerlaan 66 II,https://www.funda.nl/koop/amsterdam/appartement-41463321-willem-de-zwijgerlaan-66-ii/?navigateSource=resultlist,€ 299.000 k.k.,€ 5.339,3 weken,Verkocht onder voorbehoud,In overleg,-,Bovenwoning,Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,56 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,2e woonlaag,Mechanische ventilatie en TV kabel,Niet verplicht,Dubbel glas,Cv-ketel,1056JT,-,-,-,1056,1056JT,52.375820000000004,4.8625300000000005,299000,K.K.,5339,56
