Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Link,Keurmerken,Toegankelijkheid,Soort garage
€ 374.000 k.k.,€ 6.800,3 oktober 2019,Beschikbaar,In overleg,€ 75 per maand,Tussenverdieping (appartement),Bestaande bouw,1900,Samengesteld dak bedekt met pannen,55 m²,55 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,-,Niet verplicht,Voorzetramen,Cv-ketel,1013EL,https://www.funda.nl/koop/amsterdam/appartement-87872915-haarlemmerstraat-79-b/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 3.989,9 oktober 2019,Beschikbaar,In overleg,€ 152 per maand,Portiekflat (appartement),Bestaande bouw,1992,-,94 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,TV kabel en lift,-,Volledig geïsoleerd,Cv-ketel,1062KE,https://www.funda.nl/koop/amsterdam/appartement-41414153-wittgensteinlaan-204/?navigateSource=resultlist,-,-,Parkeerplaats
€ 274.500 k.k.,€ 2.518,4 oktober 2019,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1985,Plat dak bedekt met bitumineuze dakbedekking,109 m²,4 m²,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,Douche,3 woonlagen,1e woonlaag,Elektra,"C 1,55 Wat betekent dit?",Dubbel glas,Cv-ketel,1107PT,https://www.funda.nl/koop/amsterdam/appartement-41417746-toutenburgstraat-10/?navigateSource=resultlist,-,-,-
€ 270.000 k.k.,€ 3.375,3 weken,Beschikbaar,In overleg,€ 75 per maand,Bovenwoning (appartement),Bestaande bouw,1910,-,80 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,-,-,Gedeeltelijk dubbel glas,Cv-ketel,1098GK,https://www.funda.nl/koop/amsterdam/appartement-41475548-mr-pn-arntzeniusweg-13-3/?navigateSource=resultlist,-,-,-
€ 399.000 k.k.,€ 4.156,2 maanden,Beschikbaar,In overleg,-,Benedenwoning (appartement),Bestaande bouw,2014,Plat dak bedekt met bitumineuze dakbedekking,96 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,Begane grond,"Mechanische ventilatie, TV kabel, lift en schuifpui",Niet beschikbaar,Volledig geïsoleerd,Cv-ketel,1011NA,https://www.funda.nl/koop/amsterdam/appartement-40314099-valkenburgerstraat-138-d/?navigateSource=resultlist,-,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,-
€ 295.000 k.k.,€ 5.900,6+ maanden,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1924,Plat dak bedekt met bitumineuze dakbedekking,50 m²,13 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,Elektra,-,Dubbel glas,Cv-ketel,1055TS,https://www.funda.nl/koop/amsterdam/appartement-40192897-bestevaerstraat-166-2/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 400.000 k.k.,€ 7.143,15 oktober 2019,Beschikbaar,In overleg,€ 50 per maand,Bovenwoning (appartement),Bestaande bouw,1922,-,56 m²,10 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,1e woonlaag,Mechanische ventilatie en TV kabel,Niet beschikbaar,Dubbel glas,Cv-ketel,1078ST,https://www.funda.nl/koop/amsterdam/appartement-41423008-uithoornstraat-25-iii/?navigateSource=resultlist,-,-,-
€ 349.000 k.k.,€ 4.106,7 oktober 2019,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,85 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,2e woonlaag,Elektra,-,Dubbel glas,Blokverwarming,1082RD,https://www.funda.nl/koop/amsterdam/appartement-41412785-de-boelelaan-307/?navigateSource=resultlist,-,-,Parkeerplaats
€ 259.000 k.k.,€ 3.120,5 oktober 2019,Beschikbaar,In overleg,€ 119 per maand,Portiekflat (appartement),Bestaande bouw,1984,Plat dak bedekt met bitumineuze dakbedekking,83 m²,7 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,1e woonlaag,-,C Wat betekent dit?,-,-,1102TH,https://www.funda.nl/koop/amsterdam/appartement-87875854-boeninlaan-83/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 5.515,5 oktober 2019,Beschikbaar,In overleg,€ 77 per maand,Benedenwoning (appartement),Bestaande bouw,1905,-,68 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,Begane grond,-,Niet beschikbaar,Vloerisolatie,-,1052GK,https://www.funda.nl/koop/amsterdam/appartement-87875817-gerard-schaepstraat-1-hs/?navigateSource=resultlist,-,-,-
€ 315.000 k.k.,€ 3.316,2 weken,Beschikbaar,Per direct beschikbaar,€ 150 per maand,Portiekwoning (appartement),Bestaande bouw,1977,Plat dak,95 m²,7 m²,5 kamers (4 slaapkamers),1 apart toilet,-,1 woonlaag,1e woonlaag,-,-,-,Cv-ketel,1034SW,https://www.funda.nl/koop/amsterdam/appartement-87866038-westerlengte-29/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 4.375,3 weken,Beschikbaar,In overleg,€ 103 per maand,Portiekflat (appartement),Bestaande bouw,2007,Plat dak bedekt met bitumineuze dakbedekking,80 m²,3 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,2e woonlaag,Elektra,Niet beschikbaar,Dubbel glas en volledig geïsoleerd,Stadsverwarming,1087KP,https://www.funda.nl/koop/amsterdam/appartement-87853316-julius-pergerstraat-146/?navigateSource=resultlist,-,-,-
€ 400.000 k.k.,€ 4.348,4 maanden,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1992,-,92 m²,8 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,1e woonlaag,Elektra,-,-,Cv-ketel,1066GE,https://www.funda.nl/koop/amsterdam/appartement-40288795-duke-ellingtonstraat-28/?navigateSource=resultlist,-,-,Parkeerkelder
€ 267.500 k.k.,€ 3.147,6+ maanden,Beschikbaar,Per direct beschikbaar,€ 210 per maand,Galerijflat (appartement),Bestaande bouw,-,-,85 m²,6 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,6e woonlaag,-,-,Dubbel glas,Stadsverwarming,1025ZN,https://www.funda.nl/koop/amsterdam/appartement-86447320-amerbos-78/?navigateSource=resultlist,-,-,-
€ 320.000 k.k.,€ 4.706,7 oktober 2019,Beschikbaar,In overleg,-,Tussenverdieping (appartement),Bestaande bouw,1930,-,68 m²,68 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,-,-,-,-,Cv-ketel,1091NX,https://www.funda.nl/koop/amsterdam/appartement-41412613-de-la-reijstraat-3-b/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 2.750,5 oktober 2019,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1972,-,100 m²,5 m²,5 kamers (3 slaapkamers),1 badkamer,Ligbad en toilet,6 woonlagen,4e woonlaag,Lift,C Wat betekent dit?,-,-,1069EV,https://www.funda.nl/koop/amsterdam/appartement-41419066-dijkgraafplein-401/?navigateSource=resultlist,-,-,-
€ 335.000 k.k.,€ 3.418,6 weken,Beschikbaar,In overleg,€ 139 per maand,Galerijflat (appartement),Bestaande bouw,1998,-,98 m²,6 m²,4 kamers (3 slaapkamers),-,-,1 woonlaag,1e woonlaag,-,-,Volledig geïsoleerd,Stadsverwarming,1060TV,https://www.funda.nl/koop/amsterdam/appartement-86707156-pieter-calandlaan-516/?navigateSource=resultlist,-,-,-
€ 249.500 k.k.,€ 3.158,4 weken,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1976,-,79 m²,3 m²,3 kamers (2 slaapkamers),1 apart toilet,-,1 woonlaag,-,-,-,-,-,1108CX,https://www.funda.nl/koop/amsterdam/appartement-87815840-leusdenhof-81/?navigateSource=resultlist,-,-,Parkeerkelder en parkeerplaats
€ 335.000 k.k.,€ 6.569,Vandaag,Beschikbaar,In overleg,€ 105 per maand,Bovenwoning (appartement),Bestaande bouw,1914,Plat dak bedekt met bitumineuze dakbedekking,51 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1094BB,https://www.funda.nl/koop/amsterdam/appartement-87899112-djambistraat-42-1/?navigateSource=resultlist,-,-,-
€ 400.000 k.k.,€ 6.061,11 oktober 2019,Beschikbaar,In overleg,€ 82 per maand,Benedenwoning (appartement),Bestaande bouw,1919,Samengesteld dak,66 m²,2 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,-,B Wat betekent dit?,Geen isolatie,Cv-ketel,1013SG,https://www.funda.nl/koop/amsterdam/appartement-41420172-zaanstraat-352/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 5.804,10 oktober 2019,Beschikbaar,In overleg,€ 104 per maand,Bovenwoning (appartement),Bestaande bouw,1930,Plat dak bedekt met bitumineuze dakbedekking,56 m²,56 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,Elektra,D Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1056JT,https://www.funda.nl/koop/amsterdam/appartement-87878662-willem-de-zwijgerlaan-92-1/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 5.702,2 weken,Beschikbaar,In overleg,€ 122 per maand,Bovenwoning (appartement),Bestaande bouw,-,Plat dak bedekt met bitumineuze dakbedekking,57 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,2e woonlaag,TV kabel,Niet verplicht,"Dakisolatie, muurisolatie en dubbel glas",Cv-ketel,1057CS,https://www.funda.nl/koop/amsterdam/appartement-41407162-hoofdweg-187-ii/?navigateSource=resultlist,-,-,-
€ 225.000 k.k.,€ 2.528,2 weken,Beschikbaar,In overleg,€ 146 per maand,Bovenwoning (appartement met open portiek),Bestaande bouw,1983,Plat dak bedekt met bitumineuze dakbedekking,89 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,2e woonlaag,Elektra,"C 1,37 Wat betekent dit?",Gedeeltelijk dubbel glas,Cv-ketel,1107LD,https://www.funda.nl/koop/amsterdam/appartement-41405615-steenderenstraat-60/?navigateSource=resultlist,-,-,-
€ 275.000 k.k.,€ 3.395,2 weken,Beschikbaar,In overleg,€ 265 per maand,Bovenwoning (appartement),Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,81 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,5e woonlaag,Mechanische ventilatie en TV kabel,G Wat betekent dit?,Dubbel glas,Blokverwarming,1068XA,https://www.funda.nl/koop/amsterdam/appartement-87855018-nicolaas-anslijnstraat-178/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 5.952,2 weken,Beschikbaar,In overleg,€ 110 per maand,Bovenwoning (appartement),Bestaande bouw,1925,Plat dak bedekt met bitumineuze dakbedekking,63 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,3e woonlaag,Mechanische ventilatie en TV kabel,F Wat betekent dit?,Gedeeltelijk dubbel glas,Cv-ketel,1055MD,https://www.funda.nl/koop/amsterdam/appartement-87854945-admiraal-de-ruijterweg-413-3/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 3.261,3 weken,Beschikbaar,In overleg,€ 92 per maand,Portiekflat (appartement),Bestaande bouw,1976,Plat dak bedekt met bitumineuze dakbedekking,92 m²,8 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Sauna en douche,1 woonlaag,1e woonlaag,"Mechanische ventilatie, TV kabel en sauna",C Wat betekent dit?,Geen isolatie,Cv-ketel en gedeeltelijke vloerverwarming,1034LW,https://www.funda.nl/koop/amsterdam/appartement-41498332-grootzeil-199/?navigateSource=resultlist,-,-,-
€ 400.000 k.k.,€ 5.714,4 weken,Beschikbaar,In overleg,€ 108 per maand,Bovenwoning (appartement),Bestaande bouw,1985,Plat dak bedekt met bitumineuze dakbedekking,70 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,5e woonlaag,"TV kabel, lift, dakraam en glasvezelkabel",C Wat betekent dit?,Dubbel glas,Cv-ketel,1094KZ,https://www.funda.nl/koop/amsterdam/appartement-41453894-tweede-atjehstraat-5-c/?navigateSource=resultlist,-,-,-
€ 280.000 k.k.,€ 3.457,2 maanden,Beschikbaar,In overleg,€ 265 per maand,Maisonnette,Bestaande bouw,1964,Plat dak bedekt met bitumineuze dakbedekking,81 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,3e woonlaag,TV kabel en lift,D Wat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,1068WN,https://www.funda.nl/koop/amsterdam/appartement-86784698-nicolaas-anslijnstraat-44/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 340.000 k.k.,€ 3.434,3 maanden,Beschikbaar,In overleg,€ 120 per maand,Maisonnette (dubbel bovenhuis),Bestaande bouw,1957,-,99 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,5e woonlaag,"Lift, mechanische ventilatie en TV kabel","A 0,91 Wat betekent dit?",Volledig geïsoleerd,Cv-ketel,1067LN,https://www.funda.nl/koop/amsterdam/appartement-40219424-goeman-borgesiusstraat-4-f/?navigateSource=resultlist,-,-,-
€ 340.000 k.k.,€ 3.434,3 maanden,Beschikbaar,In overleg,€ 120 per maand,Maisonnette (appartement),Bestaande bouw,1957,Plat dak bedekt met bitumineuze dakbedekking,99 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer,Ligbad,2 woonlagen,4e woonlaag,Mechanische ventilatie en lift,A Wat betekent dit?,Dubbel glas,Cv-ketel,1067LN,https://www.funda.nl/koop/amsterdam/appartement-40218236-goeman-borgesiusstraat-4-c/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 3.457,6+ maanden,Beschikbaar,In overleg,€ 160 per maand,Galerijflat (appartement),Bestaande bouw,1997,Plat dak bedekt met bitumineuze dakbedekking,94 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,6e woonlaag,"Mechanische ventilatie, TV kabel, lift en schuifpui",B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1063PV,https://www.funda.nl/koop/amsterdam/appartement-40006330-adolphine-eduardine-kokplantsoen-42/?navigateSource=resultlist,-,-,Parkeerplaats
€ 350.000 k.k.,€ 3.646,2 weken,Onder bod,In overleg,€ 142 per maand,Galerijflat (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,96 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,4e woonlaag,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1069KD,https://www.funda.nl/koop/amsterdam/appartement-41402508-johan-hofmanstraat-151/?navigateSource=resultlist,-,-,-
€ 310.000 k.k.,€ 5.082,2 weken,Verkocht onder voorbehoud,In overleg,€ 117 per maand,Bovenwoning (appartement),Bestaande bouw,2012,Plat dak bedekt met bitumineuze dakbedekking,61 m²,17 m²,3 kamers (2 slaapkamers),1 badkamer,Douche,2 woonlagen,2e woonlaag,Mechanische ventilatie en TV kabel,B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1032GG,https://www.funda.nl/koop/amsterdam/appartement-87865798-mosveld-98-d/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 4.110,2 weken,Onder bod,In overleg,€ 133 per maand,Bovenwoning (appartement),Bestaande bouw,1987,Plat dak bedekt met bitumineuze dakbedekking,73 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,4 woonlagen,2e woonlaag,TV kabel,C Wat betekent dit?,Dubbel glas,Cv-ketel,1064AS,https://www.funda.nl/koop/amsterdam/appartement-41408193-burgemeester-van-de-pollstraat-52-b/?navigateSource=resultlist,-,-,-
€ 385.000 k.k.,€ 5.500,2 weken,Verkocht onder voorbehoud,In overleg,€ 140 per maand,Bovenwoning (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,70 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,1e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Cv-ketel,1082XG,https://www.funda.nl/koop/amsterdam/appartement-41494523-loevestein-169/?navigateSource=resultlist,-,-,-
€ 380.000 k.k.,€ 4.368,3 weken,Onder bod,In overleg,€ 212 per maand,Galerijflat (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,87 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,3e woonlaag,Buitenzonwering,F Wat betekent dit?,Dubbel glas,Blokverwarming,1082CW,https://www.funda.nl/koop/amsterdam/appartement-41499938-giessenburg-36/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 4.795,3 weken,Verkocht onder voorbehoud,Per direct beschikbaar,€ 174 per maand,Bovenwoning (appartement),Bestaande bouw,2018,-,73 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,-,1 woonlaag,2e woonlaag,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1034BM,https://www.funda.nl/koop/amsterdam/appartement-87831939-ijdoornlaan-1463-d/?navigateSource=resultlist,-,-,-
€ 260.000 k.k.,€ 3.939,3 weken,Onder bod,In overleg,€ 120 per maand,Galerijflat (appartement),Bestaande bouw,1960,Plat dak bedekt met bitumineuze dakbedekking,66 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,4e woonlaag,Elektra,C Wat betekent dit?,Dubbel glas,Stadsverwarming,1068LV,https://www.funda.nl/koop/amsterdam/appartement-87831262-osdorper-ban-189/?navigateSource=resultlist,-,-,-
€ 380.000 k.k.,€ 6.786,4 weken,Verkocht onder voorbehoud,In overleg,€ 115 per maand,Bovenwoning (appartement),Bestaande bouw,1934,-,56 m²,20 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,2 woonlagen,3e woonlaag,Mechanische ventilatie en TV kabel,D Wat betekent dit?,"Dakisolatie, vloerisolatie en dubbel glas",Cv-ketel,1079EM,https://www.funda.nl/koop/amsterdam/appartement-87821815-lekstraat-73-3/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 6.019,4 weken,Verkocht onder voorbehoud,In overleg,€ 93 per maand,Bovenwoning (appartement),Bestaande bouw,1905,Samengesteld dak bedekt met bitumineuze dakbedekking,54 m²,7 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,3e woonlaag,-,D Wat betekent dit?,"Dakisolatie, vloerisolatie en dubbel glas",Cv-ketel,1094HL,https://www.funda.nl/koop/amsterdam/appartement-87821622-javastraat-74-3/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 4.261,4 weken,Onder bod,In overleg,€ 146 per maand,Bovenwoning (appartement),Bestaande bouw,2006,Plat dak bedekt met bitumineuze dakbedekking,88 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,3e woonlaag,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,Dubbel glas,Cv-ketel,1061WB,https://www.funda.nl/koop/amsterdam/appartement-41467060-wijnand-nuijenstraat-110/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 3.608,5 weken,Verkocht onder voorbehoud,Per direct beschikbaar,€ 195 per maand,Portiekflat (appartement),Bestaande bouw,1993,Plat dak bedekt met bitumineuze dakbedekking,97 m²,3 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,1e woonlaag,"Mechanische ventilatie, TV kabel, lift en schuifpui",C Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1066PZ,https://www.funda.nl/koop/amsterdam/appartement-41450380-sint-gilleshof-8/?navigateSource=resultlist,-,-,-
€ 325.000 k.k.,€ 3.457,5 weken,Onder bod,In overleg,€ 117 per maand,Bovenwoning,Bestaande bouw,2006,-,94 m²,13 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,-,"Mechanische ventilatie, TV kabel en lift",A Wat betekent dit?,Vloerisolatie en dubbel glas,Cv-ketel,1069GA,https://www.funda.nl/koop/amsterdam/appartement-41458569-osdorper-ban-667/?navigateSource=resultlist,-,-,Parkeerkelder en parkeerplaats
€ 360.000 k.k.,€ 5.373,6 weken,Verkocht onder voorbehoud,In overleg,€ 82 per maand,Bovenwoning (appartement),Bestaande bouw,1981,Plat dak,67 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,3e woonlaag,TV kabel,C Wat betekent dit?,Dubbel glas en volledig geïsoleerd,Cv-ketel,1093BJ,https://www.funda.nl/koop/amsterdam/appartement-86706946-von-zesenstraat-334/?navigateSource=resultlist,-,-,-
€ 225.000 k.k.,€ 3.214,6 weken,Verkocht onder voorbehoud,In overleg,€ 233 per maand,Galerijflat (appartement),Bestaande bouw,1967,Plat dak bedekt met bitumineuze dakbedekking,70 m²,4 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,13 woonlagen,5e woonlaag,"Lift, rolluiken en TV kabel",E Wat betekent dit?,Gedeeltelijk dubbel glas,Stadsverwarming,1069EG,https://www.funda.nl/koop/amsterdam/appartement-40348311-langswater-710/?navigateSource=resultlist,-,Toegankelijk voor ouderen,-
€ 260.000 k.k.,€ 3.291,6 weken,Verkocht onder voorbehoud,In overleg,€ 221 per maand,Galerijflat (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,79 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,7e woonlaag,Lift en TV kabel,C Wat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,1068JS,https://www.funda.nl/koop/amsterdam/appartement-40346214-s-f-van-ossstraat-332/?navigateSource=resultlist,-,-,-
€ 390.000 k.k.,€ 3.482,7 weken,Verkocht onder voorbehoud,In overleg,€ 187 per maand,Galerijflat (appartement),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,112 m²,7 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,-,1 woonlaag,3e woonlaag,TV kabel en lift,A Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1069KE,https://www.funda.nl/koop/amsterdam/appartement-40337119-johan-hofmanstraat-142/?navigateSource=resultlist,-,-,Parkeerkelder en parkeerplaats
€ 385.000 k.k.,€ 4.096,3 maanden,Verkocht onder voorbehoud,In overleg,€ 118 per maand,Bovenwoning (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,94 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,4e woonlaag,"Lift, mechanische ventilatie en TV kabel",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1087EN,https://www.funda.nl/koop/amsterdam/appartement-40377241-ijburglaan-1051/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 5.085,4 maanden,Verkocht onder voorbehoud,In overleg,€ 102 per maand,Bovenwoning (appartement),Bestaande bouw,1927,Plat dak bedekt met bitumineuze dakbedekking,59 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,1e woonlaag,-,E Wat betekent dit?,Dubbel glas,Cv-ketel,1056DE,https://www.funda.nl/koop/amsterdam/appartement-86638883-hoofdweg-404-1/?navigateSource=resultlist,-,-,-
€ 400.000 k.k.,€ 5.797,5 maanden,Verkocht onder voorbehoud,In overleg,€ 75 per maand,Bovenwoning (appartement met open portiek),Bestaande bouw,1932,Zadeldak bedekt met pannen,69 m²,17 m²,4 kamers (3 slaapkamers),1 badkamer,Ligbad en toilet,2 woonlagen,3e woonlaag,Mechanische ventilatie en TV kabel,D Wat betekent dit?,Dubbel glas,Cv-ketel,1058LN,https://www.funda.nl/koop/amsterdam/appartement-86587171-hillegomstraat-15-ii/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 6.731,Vandaag,Beschikbaar,In overleg,-,Bovenwoning (appartement),Bestaande bouw,1934,Samengesteld dak bedekt met pannen en bitumineuze dakbedekking,52 m²,22 m²,6 kamers (4 slaapkamers),-,-,1 woonlaag,4e woonlaag,-,"G 5,58 Wat betekent dit?",Dubbel glas,Geen verwarming,1079NJ,https://www.funda.nl/koop/amsterdam/appartement-41423911-president-kennedylaan-124-3/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 3.093,12 oktober 2019,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,2010,Plat dak,97 m²,6 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,5e woonlaag,Elektra,A Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1102AX,https://www.funda.nl/koop/amsterdam/appartement-87885466-raoul-wallenbergstraat-111/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 5.882,11 oktober 2019,Beschikbaar,In overleg,€ 77 per maand,Bovenwoning (appartement),Bestaande bouw,1940,Plat dak bedekt met bitumineuze dakbedekking,51 m²,8 m²,3 kamers (2 slaapkamers),-,-,1 woonlaag,3e woonlaag,Elektra,D Wat betekent dit?,Dakisolatie en dubbel glas,Cv-ketel,1055CD,https://www.funda.nl/koop/amsterdam/appartement-87882206-esmoreitstraat-8-iii/?navigateSource=resultlist,Energie Prestatie Advies,-,-
€ 365.000 k.k.,€ 5.615,12 oktober 2019,Beschikbaar,In overleg,€ 79 per maand,Bovenwoning (appartement),Bestaande bouw,Voor 1906,Plat dak bedekt met bitumineuze dakbedekking,65 m²,9 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Stoomcabine en douche,1 woonlaag,1e woonlaag,Mechanische ventilatie en TV kabel,Niet beschikbaar,"Dakisolatie, vloerisolatie en dubbel glas",Cv-ketel,1093SL,https://www.funda.nl/koop/amsterdam/appartement-41427832-zeeburgerdijk-31-i/?navigateSource=resultlist,-,-,-
€ 300.000 k.k.,€ 2.970,10 oktober 2019,Beschikbaar,In overleg,-,Maisonnette (appartement),Bestaande bouw,1997,Plat dak,101 m²,8 m²,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,2e woonlaag,Elektra,B Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1103TD,https://www.funda.nl/koop/amsterdam/appartement-87878897-bijlmerdreef-909/?navigateSource=resultlist,-,-,-
