Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,Wonen,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Energielabel,Isolatie,Verwarming,Postal Code,Link,Keurmerken,Toegankelijkheid,Soort garage
€ 300.000 k.k.,€ 3.896,2 maanden,Beschikbaar,In overleg,€ 107 per maand,Bovenwoning (appartement),Bestaande bouw,2006,-,77 m²,4 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,-,16 woonlagen,11e woonlaag,Elektra,A Wat betekent dit?,Geen isolatie,Cv-ketel,1069ZR,https://www.funda.nl/koop/amsterdam/appartement-40326777-osdorper-ban-736/?navigateSource=resultlist,-,-,-
€ 335.000 k.k.,€ 4.653,3 maanden,Beschikbaar,In overleg,€ 78 per maand,Benedenwoning (appartement),Bestaande bouw,1987,Plat dak bedekt met bitumineuze dakbedekking,72 m²,72 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Begane grond,-,C Wat betekent dit?,Volledig geïsoleerd en vloerisolatie,Cv-ketel,1025WV,https://www.funda.nl/koop/amsterdam/appartement-86676201-olof-palmeplein-118/?navigateSource=resultlist,-,-,-
€ 375.000 k.k.,€ 4.310,12 oktober 2019,Beschikbaar,In overleg,€ 159 per maand,Bovenwoning (appartement met open portiek),Bestaande bouw,2008,Plat dak bedekt met bitumineuze dakbedekking,87 m²,87 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,6e woonlaag,Mechanische ventilatie en TV kabel,A Wat betekent dit?,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",Stadsverwarming,1061VX,https://www.funda.nl/koop/amsterdam/appartement-87885475-derkinderenstraat-204/?navigateSource=resultlist,Woningborg garantiecertificaat,Toegankelijk voor gehandicapten en toegankelijk voor ouderen,"Inpandig, parkeerkelder en parkeerplaats"
€ 375.000 k.k.,€ 3.989,12 oktober 2019,Beschikbaar,In overleg,€ 156 per maand,Bovenwoning (appartement),Bestaande bouw,2009,Plat dak bedekt met bitumineuze dakbedekking,94 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,3e woonlaag,"Glasvezelkabel, lift, mechanische ventilatie en TV kabel",A Wat betekent dit?,Volledig geïsoleerd,Stadsverwarming,1087EN,https://www.funda.nl/koop/amsterdam/appartement-41420937-ijburglaan-851/?navigateSource=resultlist,-,-,Parkeerkelder en parkeerplaats
€ 389.000 k.k.,€ 6.175,12 oktober 2019,Beschikbaar,In overleg,€ 98 per maand,Benedenwoning (appartement),Bestaande bouw,1927,Plat dak,63 m²,63 m²,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,Begane grond,TV kabel,F Wat betekent dit?,-,Cv-ketel,1057SX,https://www.funda.nl/koop/amsterdam/appartement-41429762-baffinstraat-12-hs/?navigateSource=resultlist,-,-,-
€ 250.000 k.k.,€ 3.731,10 oktober 2019,Beschikbaar,In overleg,-,Galerijflat (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,67 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,8e woonlaag,TV kabel en lift,D Wat betekent dit?,Dubbel glas,Blokverwarming,1068ZH,https://www.funda.nl/koop/amsterdam/appartement-41428994-boutenburg-321/?navigateSource=resultlist,-,-,-
€ 350.000 k.k.,€ 3.333,10 oktober 2019,Beschikbaar,In overleg,-,Portiekwoning (appartement),Bestaande bouw,2004,Plat dak bedekt met bitumineuze dakbedekking,105 m²,5 m²,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,5e woonlaag,"Mechanische ventilatie, TV kabel en lift",B Wat betekent dit?,Volledig geïsoleerd,Cv-ketel,1067XX,https://www.funda.nl/koop/amsterdam/appartement-41428822-willem-baerdesenstraat-64/?navigateSource=resultlist,GIW Waarborgcertificaat,Toegankelijk voor ouderen,-
€ 325.000 k.k.,€ 6.019,11 oktober 2019,Beschikbaar,In overleg,-,Portiekflat (appartement),Bestaande bouw,1940,Plat dak,54 m²,12 m²,4 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,2e woonlaag,Elektra,D Wat betekent dit?,Dubbel glas,Cv-ketel,1055DE,https://www.funda.nl/koop/amsterdam/appartement-41426230-merlijnstraat-18-ii/?navigateSource=resultlist,-,-,-
€ 200.000 k.k.,€ 3.333,9 oktober 2019,Beschikbaar,In overleg,€ 180 per maand,Galerijflat (appartement),Bestaande bouw,1963,Plat dak bedekt met bitumineuze dakbedekking,60 m²,5 m²,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,13e woonlaag,Lift en TV kabel,-,Dubbel glas,Stadsverwarming,1069TS,https://www.funda.nl/koop/amsterdam/appartement-41425325-langswater-252/?navigateSource=resultlist,-,-,-
€ 397.000 k.k.,€ 4.010,5 oktober 2019,Beschikbaar,In overleg,€ 116 per maand,Maisonnette (appartement),Bestaande bouw,2001,Plat dak,99 m²,21 m²,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,2 woonlagen,1e woonlaag,Mechanische ventilatie en TV kabel,-,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas, gedeeltelijk dubbel glas, voorzetramen, volledig geïsoleerd, geen spouw en eco-bouw",Cv-ketel,1067HD,https://www.funda.nl/koop/amsterdam/appartement-41411735-cornelis-outshoornstraat-52/?navigateSource=resultlist,-,-,-
